Frame,Time,Speed,Gear,RPM,Tyre_FL,Tyre_FR,Tyre_RL,Tyre_RR
44115,694.688,65,4,4439,21.8428,21.8428,24.8167,24.8167
44116,694.705,65,4,4438,21.8428,21.8428,24.8167,24.8167
44117,694.723,66,4,4441,21.8428,21.8428,24.8167,24.8167
44118,694.741,66,4,4442,21.8428,21.8428,24.8167,24.8167
44119,694.759,66,4,4443,21.8428,21.8428,24.8167,24.8167
44120,694.777,66,4,4443,21.8428,21.8428,24.8167,24.8167
44121,694.795,67,4,4447,21.8428,21.8428,24.8167,24.8167
44122,694.804,67,4,4445,21.8428,21.8428,24.8167,24.8167
44123,694.823,67,4,4446,21.8428,21.8428,24.8167,24.8167
44124,694.841,68,4,4446,21.8428,21.8428,24.8167,24.8167
44125,694.859,68,4,4448,21.8428,21.8428,24.8167,24.8167
44126,694.877,68,4,4451,21.8428,21.8428,24.8167,24.8167
44127,694.894,69,4,4458,21.8428,21.8428,24.8167,24.8167
44128,694.903,69,4,4489,21.8428,21.8428,24.8167,24.8167
44129,694.921,70,4,4476,21.8428,21.8428,24.8167,24.8167
44130,694.938,70,4,4481,21.8428,21.8428,24.8167,24.8167
44131,694.955,70,4,4479,21.8428,21.8428,24.8167,24.8167
44132,694.973,71,4,4480,21.8428,21.8428,24.8167,24.8167
44133,694.99,71,4,4479,21.8428,21.8428,24.8167,24.8167
44134,695.007,71,4,4480,21.8428,21.8428,24.8167,24.8167
44135,695.025,72,4,4480,21.8428,21.8428,24.8167,24.8167
44136,695.042,72,4,4488,21.8428,21.8428,24.8167,24.8167
44137,695.059,73,4,4511,21.8428,21.8428,24.8167,24.8167
44138,695.077,73,4,4533,21.8428,21.8428,24.8167,24.8167
44139,695.086,73,4,4556,21.8428,21.8428,24.8167,24.8167
44140,695.104,74,4,4578,21.8428,21.8428,24.8167,24.8167
44141,695.122,74,4,4603,21.8428,21.8428,24.8167,24.8167
44142,695.14,74,4,4620,21.8428,21.8428,24.8167,24.8167
44143,695.157,75,4,4604,21.8428,21.8428,24.8167,24.8167
44144,695.175,75,4,4558,21.8428,21.8428,24.8167,24.8167
44145,695.193,75,4,4560,21.8428,21.8428,24.8167,24.8167
44146,695.202,75,4,4545,21.8428,21.8428,24.8167,24.8167
44147,695.22,75,4,4539,21.8428,21.8428,24.8167,24.8167
44148,695.238,75,4,4522,21.8428,21.8428,24.8167,24.8167
44149,695.255,74,4,4518,21.8428,21.8428,24.8167,24.8167
44150,695.272,74,4,4513,21.8428,21.8428,24.8167,24.8167
44151,695.29,74,4,4506,21.8428,21.8428,24.8167,24.8167
44152,695.309,74,4,4500,21.8428,21.8428,24.8167,24.8167
44153,695.318,74,4,4493,21.8428,21.8428,24.8167,24.8167
44154,695.337,74,4,4487,21.8428,21.8428,24.8167,24.8167
44155,695.355,74,4,4482,21.8428,21.8428,24.8167,24.8167
44156,695.374,74,4,4476,21.8428,21.8428,24.8167,24.8167
44157,695.391,74,4,4470,21.8428,21.8428,24.8167,24.8167
44158,695.409,74,4,4464,21.8428,21.8428,24.8167,24.8167
44159,695.418,73,4,4457,21.8428,21.8428,24.8167,24.8167
44160,695.437,73,4,4451,21.8428,21.8428,24.8167,24.8167
44161,695.455,73,4,4446,21.8428,21.8428,24.8167,24.8167
44162,695.472,73,4,4440,21.8428,21.8428,24.8167,24.8167
44163,695.49,73,4,4434,21.8428,21.8428,24.8167,24.8167
44164,695.508,73,4,4428,21.8428,21.8428,24.8167,24.8167
44165,695.526,73,4,4421,21.8428,21.8428,24.8167,24.8167
44166,695.535,73,4,4415,21.8428,21.8428,24.8167,24.8167
44167,695.553,73,4,4435,21.8428,21.8428,24.8167,24.8167
44168,695.57,73,4,4494,21.8428,21.8428,24.8167,24.8167
44169,695.588,73,4,4557,21.8428,21.8428,24.8167,24.8167
44170,695.605,73,4,4574,21.8428,21.8428,24.8167,24.8167
44171,695.622,74,4,4596,21.8428,21.8428,24.8167,24.8167
44172,695.64,74,4,4618,21.8428,21.8428,24.8167,24.8167
44173,695.659,75,4,4635,21.8428,21.8428,24.8167,24.8167
44174,695.668,75,4,4659,21.8428,21.8428,24.8167,24.8167
44175,695.686,75,4,4683,21.8428,21.8428,24.8167,24.8167
44176,695.704,76,4,4666,21.8428,21.8428,24.8167,24.8167
44177,695.721,76,4,4642,21.8428,21.8428,24.8167,24.8167
44178,695.739,76,4,4620,21.8428,21.8428,24.8167,24.8167
44179,695.757,76,4,4593,21.8428,21.8428,24.8167,24.8167
44180,695.775,76,4,4588,21.8428,21.8428,24.8167,24.8167
44181,695.793,76,4,4582,21.8428,21.8428,24.8167,24.8167
44182,695.802,75,4,4576,21.8428,21.8428,24.8167,24.8167
44183,695.819,75,4,4569,21.8428,21.8428,24.8167,24.8167
44184,695.838,75,4,4563,21.8428,21.8428,24.8167,24.8167
44185,695.856,75,4,4557,21.8428,21.8428,24.8167,24.8167
44186,695.873,75,4,4551,21.8428,21.8428,24.8167,24.8167
44187,695.89,75,4,4545,21.8428,21.8428,24.8167,24.8167
